Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
4930540M03Rik	current symbol	MGI:1925275	4930540M03Rik	RIKEN cDNA 4930540M03 gene	lncRNA gene
4930542C21Rik	current symbol	MGI:1922425	4930542C21Rik	RIKEN cDNA 4930542C21 gene	lncRNA gene
4930542D17Rik	current symbol	MGI:1922461	4930542D17Rik	RIKEN cDNA 4930542D17 gene	lncRNA gene
4930543E12Rik	current symbol	MGI:1922489	4930543E12Rik	RIKEN cDNA 4930543E12 gene	lncRNA gene
4930544M13Rik	current symbol	MGI:1922411	4930544M13Rik	RIKEN cDNA 4930544M13 gene	lncRNA gene
4930545L23Rik	current symbol	MGI:1926055	4930545L23Rik	RIKEN cDNA 4930545L23 gene	lncRNA gene
4930546C10Rik	current symbol	MGI:1926181	4930546C10Rik	RIKEN cDNA 4930546C10 gene	lncRNA gene
4930546K05Rik	current symbol	MGI:1925444	4930546K05Rik	RIKEN cDNA 4930546K05 gene	lncRNA gene
4930547E14Rik	current symbol	MGI:1922395	4930547E14Rik	RIKEN cDNA 4930547E14 gene	lncRNA gene
4930548G14Rik	current symbol	MGI:1922531	4930548G14Rik	RIKEN cDNA 4930548G14 gene	lncRNA gene
4930548K13Rik	current symbol	MGI:1922610	4930548K13Rik	RIKEN cDNA 4930548K13 gene	lncRNA gene
4930549G23Rik	current symbol	MGI:1922536	4930549G23Rik	RIKEN cDNA 4930549G23 gene	lncRNA gene
4930552N02Rik	current symbol	MGI:1922617	4930552N02Rik	RIKEN cDNA 4930552N02 gene	lncRNA gene
4930552P12Rik	current symbol	MGI:1924844	4930552P12Rik	RIKEN cDNA 4930552P12 gene	lncRNA gene
4930555B11Rik	current symbol	MGI:1922529	4930555B11Rik	RIKEN cDNA 4930555B11 gene	lncRNA gene
4930556C24Rik	current symbol	MGI:1922560	4930556C24Rik	RIKEN cDNA 4930556C24 gene	lncRNA gene
4930556G01Rik	current symbol	MGI:1922582	4930556G01Rik	RIKEN cDNA 4930556G01 gene	lncRNA gene
4930556M19Rik	current symbol	MGI:1922509	4930556M19Rik	RIKEN cDNA 4930556M19 gene	lncRNA gene
4930556N09Rik	current symbol	MGI:1922551	4930556N09Rik	RIKEN cDNA 4930556N09 gene	lncRNA gene
4930557J02Rik	current symbol	MGI:1922607	4930557J02Rik	RIKEN cDNA 4930557J02 gene	lncRNA gene
4930558C23Rik	old symbol	MGI:1914904	Ctxnd2	cortexin domain containing 2	protein coding gene
4930558G05Rik	current symbol	MGI:1922524	4930558G05Rik	RIKEN cDNA 4930558G05 gene	lncRNA gene
4930558J18Rik	current symbol	MGI:1922573	4930558J18Rik	RIKEN cDNA 4930558J18 gene	lncRNA gene
4930563M20Rik	current symbol	MGI:1925463	4930563M20Rik	RIKEN cDNA 4930563M20 gene	lncRNA gene
4930564G21Rik	old symbol	MGI:1922571	Grip1os2	glutamate receptor interacting protein 1, opposite strand 2	antisense lncRNA gene
4930564K09Rik	old symbol	MGI:1925462	Rbm46os	RNA binding motif protein 46, opposite strand	antisense lncRNA gene
4930564K09Rik:copy2		No associated gene			
4930565D16Rik	current symbol	MGI:1922559	4930565D16Rik	RIKEN cDNA 4930565D16 gene	lncRNA gene
4930565N06Rik	current symbol	MGI:1915556	4930565N06Rik	RIKEN cDNA 4930565N06 gene	lncRNA gene
4930567H12Rik	current symbol	MGI:1923181	4930567H12Rik	RIKEN cDNA 4930567H12 gene	lncRNA gene
4930567J20Rik	current symbol	MGI:1925471	4930567J20Rik	RIKEN cDNA 4930567J20 gene	lncRNA gene
4930568E12Rik	current symbol	MGI:1925469	4930568E12Rik	RIKEN cDNA 4930568E12 gene	lncRNA gene
4930568G15Rik	current symbol	MGI:1923107	4930568G15Rik	RIKEN cDNA 4930568G15 gene	lncRNA gene
4930570G19Rik	current symbol	MGI:1923158	4930570G19Rik	RIKEN cDNA 4930570G19 gene	lncRNA gene
4930570G19Rik:copy2		No associated gene			
4930570G19Rik:copy3		No associated gene			
4930572K03Rik	current symbol	MGI:1923166	4930572K03Rik	RIKEN cDNA 4930572K03 gene	lncRNA gene
4930572O13Rik	current symbol	MGI:1923112	4930572O13Rik	RIKEN cDNA 4930572O13 gene	lncRNA gene
4930573O16Rik	current symbol	MGI:1925299	4930573O16Rik	RIKEN cDNA 4930573O16 gene	lncRNA gene
4930577N17Rik	current symbol	MGI:1914996	4930577N17Rik	RIKEN cDNA 4930577N17 gene	lncRNA gene
4930578E11Rik	current symbol	MGI:1925308	4930578E11Rik	RIKEN cDNA 4930578E11 gene	lncRNA gene
4930578N18Rik	current symbol	MGI:1925465	4930578N18Rik	RIKEN cDNA 4930578N18 gene	lncRNA gene
4930581F22Rik	current symbol	MGI:1926184	4930581F22Rik	RIKEN cDNA 4930581F22 gene	lncRNA gene
4930583P06Rik	current symbol	MGI:1923196	4930583P06Rik	RIKEN cDNA 4930583P06 gene	lncRNA gene
4930584F24Rik	current symbol	MGI:1923192	4930584F24Rik	RIKEN cDNA 4930584F24 gene	lncRNA gene
4930590L20Rik	current symbol	MGI:1923160	4930590L20Rik	RIKEN cDNA 4930590L20 gene	lncRNA gene
4930592A05Rik	current symbol	MGI:1923130	4930592A05Rik	RIKEN cDNA 4930592A05 gene	lncRNA gene
4930593A02Rik	current symbol	MGI:1923132	4930593A02Rik	RIKEN cDNA 4930593A02 gene	lncRNA gene
4930596M17Rik	old symbol	MGI:1922634	Lyzl4os	lysozyme-like 4, opposite strand	antisense lncRNA gene
4930597G03Rik	current symbol	MGI:1922627	4930597G03Rik	RIKEN cDNA 4930597G03 gene	lncRNA gene
4930599N23Rik	current symbol	MGI:1922629	4930599N23Rik	RIKEN cDNA 4930599N23 gene	lncRNA gene
4931402G19Rik	current symbol	MGI:1918183	4931402G19Rik	RIKEN cDNA 4931402G19 gene	lncRNA gene
4931403E22Rik	current symbol	MGI:1918192	4931403E22Rik	RIKEN cDNA 4931403E22 gene	lncRNA gene
4931403G20Rik	current symbol	MGI:1918184	4931403G20Rik	RIKEN cDNA 4931403G20 gene	lncRNA gene
4931406H21Rik	current symbol	MGI:1924842	4931406H21Rik	RIKEN cDNA 4931406H21 gene	lncRNA gene
4931408D14Rik	current symbol	MGI:1924309	4931408D14Rik	RIKEN cDNA 4931408D14 gene	lncRNA gene
4931409K22Rik	old symbol	MGI:3045319	Iqca1l	IQ motif containing with AAA domain 1 like	protein coding gene
4931419H13Rik	current symbol	MGI:1918220	4931419H13Rik	RIKEN cDNA 4931419H13 gene	lncRNA gene
4931428L18Rik	current symbol	MGI:1918238	4931428L18Rik	RIKEN cDNA 4931428L18 gene	protein coding gene
4931429P17Rik	current symbol	MGI:1918221	4931429P17Rik	RIKEN cDNA 4931429P17 gene	lncRNA gene
4931431B13Rik	current symbol	MGI:1918223	4931431B13Rik	RIKEN cDNA 4931431B13 gene	lncRNA gene
4931431C16Rik	current symbol	MGI:1921614	4931431C16Rik	RIKEN cDNA 4931431C16 gene	lncRNA gene
4931440J10Rik	current symbol	MGI:1918250	4931440J10Rik	RIKEN cDNA 4931440J10 gene	lncRNA gene
4931440L10Rik	old symbol	MGI:1918251	Mgat4e	MGAT4 family, member E	protein coding gene
4931440P22Rik	current symbol	MGI:1918254	4931440P22Rik	RIKEN cDNA 4931440P22 gene	lncRNA gene
4932412D23Rik	current symbol	MGI:1922972	4932412D23Rik	RIKEN cDNA 4932412D23 gene	lncRNA gene
4932412D23Rik:copy2		No associated gene			
4932413F04Rik	current symbol	MGI:2441690	4932413F04Rik	RIKEN cDNA 4932413F04 gene	lncRNA gene
4932414J04Rik	current symbol	MGI:3605619	4932414J04Rik	RIKEN cDNA 4932414J04 gene	lncRNA gene
4932415G12Rik	old symbol	MGI:1914973	Cep83os	centrosomal protein 83, opposite strand	bidirectional promoter lncRNA gene
4932415M13Rik	current symbol	MGI:3608328	4932415M13Rik	RIKEN cDNA 4932415M13 gene	lncRNA gene
4932416H05Rik	old symbol	MGI:3606162	Stk35os1	serine/threonine kinase 35, opposite strand 1	lncRNA gene
4932435O22Rik	current symbol	MGI:2442791	4932435O22Rik	RIKEN cDNA 4932435O22 gene	lncRNA gene
4932441J04Rik	current symbol	MGI:2441691	4932441J04Rik	RIKEN cDNA 4932441J04 gene	lncRNA gene
4933400B14Rik	current symbol	MGI:1918302	4933400B14Rik	RIKEN cDNA 4933400B14 gene	lncRNA gene
4933400C23Rik	current symbol	MGI:5439420	4933400C23Rik	RIKEN cDNA 4933400C23 gene	lncRNA gene
4933400F21Rik	current symbol	MGI:1921653	4933400F21Rik	RIKEN cDNA 4933400F21 gene	lncRNA gene
4933400L20Rik	current symbol	MGI:1918308	4933400L20Rik	RIKEN cDNA 4933400L20 gene	lncRNA gene
4933401D09Rik	current symbol	MGI:1918258	4933401D09Rik	RIKEN cDNA 4933401D09 gene	lncRNA gene
4933402C06Rik	current symbol	MGI:1918279	4933402C06Rik	RIKEN cDNA 4933402C06 gene	lncRNA gene
4933402J10Rik	current symbol	MGI:1918307	4933402J10Rik	RIKEN cDNA 4933402J10 gene	lncRNA gene
4933402J15Rik	current symbol	MGI:1921675	4933402J15Rik	RIKEN cDNA 4933402J15 gene	lncRNA gene
4933404O12Rik	current symbol	MGI:1914002	4933404O12Rik	RIKEN cDNA 4933404O12 gene	lncRNA gene
4933405D12Rik	current symbol	MGI:1921307	4933405D12Rik	RIKEN cDNA 4933405D12 gene	lncRNA gene
4933405E24Rik	current symbol	MGI:1918306	4933405E24Rik	RIKEN cDNA 4933405E24 gene	lncRNA gene
4933406C10Rik	current symbol	MGI:1921326	4933406C10Rik	RIKEN cDNA 4933406C10 gene	lncRNA gene
4933406G16Rik	current symbol	MGI:1921309	4933406G16Rik	RIKEN cDNA 4933406G16 gene	lncRNA gene
4933406I18Rik	current symbol	MGI:1918295	4933406I18Rik	RIKEN cDNA 4933406I18 gene	lncRNA gene
4933406I18Rik:copy2		No associated gene			
4933406J10Rik	current symbol	MGI:1921308	4933406J10Rik	RIKEN cDNA 4933406J10 gene	lncRNA gene
4933406K04Rik	current symbol	MGI:1918283	4933406K04Rik	RIKEN cDNA 4933406K04 gene	lncRNA gene
4933407E24Rik	current symbol	MGI:1918352	4933407E24Rik	RIKEN cDNA 4933407E24 gene	lncRNA gene
4933407G14Rik	current symbol	MGI:1918375	4933407G14Rik	RIKEN cDNA 4933407G14 gene	lncRNA gene
4933407I05Rik	current symbol	MGI:1921322	4933407I05Rik	RIKEN cDNA 4933407I05 gene	lncRNA gene
4933407K13Rik	current symbol	MGI:1921646	4933407K13Rik	RIKEN cDNA 4933407K13 gene	lncRNA gene
4933407L21Rik	current symbol	MGI:1918391	4933407L21Rik	RIKEN cDNA 4933407L21 gene	protein coding gene
4933408J17Rik	current symbol	MGI:1921704	4933408J17Rik	RIKEN cDNA 4933408J17 gene	lncRNA gene
4933409K07Rik:copy3		No associated gene			
4933411E08Rik	current symbol	MGI:1918317	4933411E08Rik	RIKEN cDNA 4933411E08 gene	lncRNA gene
4933412E12Rik	current symbol	MGI:1918336	4933412E12Rik	RIKEN cDNA 4933412E12 gene	lncRNA gene
4933412O06Rik	current symbol	MGI:1918321	4933412O06Rik	RIKEN cDNA 4933412O06 gene	lncRNA gene
4933413J09Rik	current symbol	MGI:1918356	4933413J09Rik	RIKEN cDNA 4933413J09 gene	lncRNA gene
4933413L06Rik	current symbol	MGI:1918350	4933413L06Rik	RIKEN cDNA 4933413L06 gene	lncRNA gene
4933416E03Rik	current symbol	MGI:1918331	4933416E03Rik	RIKEN cDNA 4933416E03 gene	lncRNA gene
4933416M06Rik	current symbol	MGI:1918424	4933416M06Rik	RIKEN cDNA 4933416M06 gene	lncRNA gene
4933416M07Rik	current symbol	MGI:1918332	4933416M07Rik	RIKEN cDNA 4933416M07 gene	lncRNA gene
4933417D19Rik	current symbol	MGI:1918436	4933417D19Rik	RIKEN cDNA 4933417D19 gene	lncRNA gene
4933417E11Rik	current symbol	MGI:1918384	4933417E11Rik	RIKEN cDNA 4933417E11 gene	lncRNA gene
4933417O13Rik	current symbol	MGI:1918403	4933417O13Rik	RIKEN cDNA 4933417O13 gene	lncRNA gene
4933421O10Rik	current symbol	MGI:1918323	4933421O10Rik	RIKEN cDNA 4933421O10 gene	lncRNA gene
4933422A05Rik	current symbol	MGI:1918383	4933422A05Rik	RIKEN cDNA 4933422A05 gene	lncRNA gene
4933424G05Rik	current symbol	MGI:1921706	4933424G05Rik	RIKEN cDNA 4933424G05 gene	lncRNA gene
4933424G06Rik	current symbol	MGI:1918416	4933424G06Rik	RIKEN cDNA 4933424G06 gene	protein coding gene
4933425B07Rik	current symbol	MGI:1921708	4933425B07Rik	RIKEN cDNA 4933425B07 gene	lncRNA gene
4933425H06Rik	old symbol	MGI:1914010	Sox5os3	SRY (sex determining region Y)-box 5, opposite strand 3	antisense lncRNA gene
4933426D04Rik	old symbol	MGI:1918411	Prkag2os1	protein kinase, AMP-activated, gamma 2 non-catalytic subunit, opposite strand 1	antisense lncRNA gene
4933427E13Rik	current symbol	MGI:1918484	4933427E13Rik	RIKEN cDNA 4933427E13 gene	lncRNA gene
4933427I22Rik	current symbol	MGI:1918485	4933427I22Rik	RIKEN cDNA 4933427I22 gene	lncRNA gene
4933428C19Rik	current symbol	MGI:1918543	4933428C19Rik	RIKEN cDNA 4933428C19 gene	lncRNA gene
4933429K18Rik	current symbol	MGI:1918482	4933429K18Rik	RIKEN cDNA 4933429K18 gene	lncRNA gene
4933429O19Rik	current symbol	MGI:1914020	4933429O19Rik	RIKEN cDNA 4933429O19 gene	lncRNA gene
4933430H16Rik	current symbol	MGI:1918535	4933430H16Rik	RIKEN cDNA 4933430H16 gene	lncRNA gene
4933430M04Rik	current symbol	MGI:1918566	4933430M04Rik	RIKEN cDNA 4933430M04 gene	lncRNA gene
4933430N04Rik	current symbol	MGI:1918499	4933430N04Rik	RIKEN cDNA 4933430N04 gene	lncRNA gene
4933431E20Rik	current symbol	MGI:3584041	4933431E20Rik	RIKEN cDNA 4933431E20 gene	lncRNA gene
4933431G14Rik	current symbol	MGI:1918515	4933431G14Rik	RIKEN cDNA 4933431G14 gene	lncRNA gene
4933432G23Rik	current symbol	MGI:1918446	4933432G23Rik	RIKEN cDNA 4933432G23 gene	lncRNA gene
4933432I03Rik	current symbol	MGI:1918514	4933432I03Rik	RIKEN cDNA 4933432I03 gene	lncRNA gene
4933432K03Rik	current symbol	MGI:1918562	4933432K03Rik	RIKEN cDNA 4933432K03 gene	lncRNA gene
4933433G15Rik	current symbol	MGI:1918524	4933433G15Rik	RIKEN cDNA 4933433G15 gene	lncRNA gene
4933433G19Rik	current symbol	MGI:1918476	4933433G19Rik	RIKEN cDNA 4933433G19 gene	lncRNA gene
4933433H22Rik	current symbol	MGI:1921723	4933433H22Rik	RIKEN cDNA 4933433H22 gene	lncRNA gene
4933436C20Rik	old symbol	MGI:1918546	Crnde	colorectal neoplasia differentially expressed (non-protein coding)	lncRNA gene
4933436E23Rik	current symbol	MGI:1918459	4933436E23Rik	RIKEN cDNA 4933436E23 gene	lncRNA gene
4933436H12Rik	current symbol	MGI:1918494	4933436H12Rik	RIKEN cDNA 4933436H12 gene	lncRNA gene
4933438B17Rik	current symbol	MGI:1918497	4933438B17Rik	RIKEN cDNA 4933438B17 gene	lncRNA gene
4933439C10Rik	current symbol	MGI:1921726	4933439C10Rik	RIKEN cDNA 4933439C10 gene	lncRNA gene
4933439K11Rik	current symbol	MGI:1918569	4933439K11Rik	RIKEN cDNA 4933439K11 gene	lncRNA gene
4933440J02Rik	current symbol	MGI:1918571	4933440J02Rik	RIKEN cDNA 4933440J02 gene	lncRNA gene
4933440M02Rik	current symbol	MGI:1918458	4933440M02Rik	RIKEN cDNA 4933440M02 gene	lncRNA gene
5031425E22Rik	current symbol	MGI:1923227	5031425E22Rik	RIKEN cDNA 5031425E22 gene	lncRNA gene
5031425F14Rik	current symbol	MGI:2442533	5031425F14Rik	RIKEN cDNA 5031425F14 gene	lncRNA gene
5031426D15Rik	current symbol	MGI:1915394	5031426D15Rik	RIKEN cDNA 5031426D15 gene	lncRNA gene
5031434O11Rik	current symbol	MGI:1923230	5031434O11Rik	RIKEN cDNA 5031434O11 gene	lncRNA gene
5033403H07Rik	current symbol	MGI:1923204	5033403H07Rik	RIKEN cDNA 5033403H07 gene	lncRNA gene
5330413P13Rik	current symbol	MGI:3041161	5330413P13Rik	RIKEN cDNA 5330413P13 gene	lncRNA gene
5330434G04Rik	current symbol	MGI:1925519	5330434G04Rik	RIKEN cDNA 5330434G04 gene	lncRNA gene
5330439B14Rik	current symbol	MGI:2447824	5330439B14Rik	RIKEN cDNA 5330439B14 gene	lncRNA gene
5430402O13Rik	current symbol	MGI:1918631	5430402O13Rik	RIKEN cDNA 5430402O13 gene	lncRNA gene
5430403N17Rik	current symbol	MGI:5439418	5430403N17Rik	RIKEN cDNA 5430403N17 gene	lncRNA gene
5430405H02Rik	current symbol	MGI:1921737	5430405H02Rik	RIKEN cDNA 5430405H02 gene	lncRNA gene
5430416N02Rik	current symbol	MGI:1918676	5430416N02Rik	RIKEN cDNA 5430416N02 gene	lncRNA gene
5430417L22Rik	old symbol	MGI:1915354	Inafm2	InaF motif containing 2	protein coding gene
5430421F17Rik	current symbol	MGI:1921739	5430421F17Rik	RIKEN cDNA 5430421F17 gene	lncRNA gene
5430425K12Rik	current symbol	MGI:1918666	5430425K12Rik	RIKEN cDNA 5430425K12 gene	lncRNA gene
5430428K19Rik	current symbol	MGI:1918672	5430428K19Rik	RIKEN cDNA 5430428K19 gene	lncRNA gene
5430434I15Rik	current symbol	MGI:1918592	5430434I15Rik	RIKEN cDNA 5430434I15 gene	lncRNA gene
5430437J10Rik	current symbol	MGI:1918682	5430437J10Rik	RIKEN cDNA 5430437J10 gene	lncRNA gene
5430440P10Rik	current symbol	MGI:1918612	5430440P10Rik	RIKEN cDNA 5430440P10 gene	lncRNA gene
5530401A14Rik	current symbol	MGI:1918638	5530401A14Rik	RIKEN cDNA 5530401A14 gene	protein coding gene
5530601H04Rik	current symbol	MGI:1918695	5530601H04Rik	RIKEN cDNA 5530601H04 gene	lncRNA gene
5730403I07Rik	current symbol	MGI:1917737	5730403I07Rik	RIKEN cDNA 5730403I07 gene	lncRNA gene
5730412P04Rik	current symbol	MGI:1917741	5730412P04Rik	RIKEN cDNA 5730412P04 gene	lncRNA gene
5730420D15Rik	current symbol	MGI:1917773	5730420D15Rik	RIKEN cDNA 5730420D15 gene	lncRNA gene
5730422E09Rik	old symbol	MGI:1917793	Mm2pr	macrophage M2 polarization regulator	lncRNA gene
5730435O14Rik	current symbol	MGI:1917788	5730435O14Rik	RIKEN cDNA 5730435O14 gene	lncRNA gene
5730457N03Rik	old symbol	MGI:1917843	Evx1os	even skipped homeotic gene 1, opposite strand	antisense lncRNA gene
5730480H06Rik	current symbol	MGI:1917842	5730480H06Rik	RIKEN cDNA 5730480H06 gene	lncRNA gene
5730488B01Rik	current symbol	MGI:1917852	5730488B01Rik	RIKEN cDNA 5730488B01 gene	lncRNA gene
5730522E02Rik	current symbol	MGI:1917876	5730522E02Rik	RIKEN cDNA 5730522E02 gene	protein coding gene
5830403M04Rik	old symbol	MGI:1923253	Tmem150cos	transmembrane protein 150C, opposite strand	antisense lncRNA gene
5830416P10Rik	old symbol	MGI:1922001	Mirt1	myocardial infarction associated transcript 1	lncRNA gene
5830417I10Rik	current symbol	MGI:1923272	5830417I10Rik	RIKEN cDNA 5830417I10 gene	pseudogene
5830418P13Rik	current symbol	MGI:3604110	5830418P13Rik	RIKEN cDNA 5830418P13 gene	lncRNA gene
5830428M24Rik	current symbol	MGI:1923312	5830428M24Rik	RIKEN cDNA 5830428M24 gene	lncRNA gene
5830432E09Rik	current symbol	MGI:1915015	5830432E09Rik	RIKEN cDNA 5830432E09 gene	lncRNA gene
5830444B04Rik	current symbol	MGI:3603170	5830444B04Rik	RIKEN cDNA 5830444B04 gene	lncRNA gene
5930403L14Rik	current symbol	MGI:2445083	5930403L14Rik	RIKEN cDNA 5930403L14 gene	lncRNA gene
5930412G12Rik	old symbol	MGI:2442398	Fzd10os	frizzled class receptor 10, opposite strand	lncRNA gene
5930430L01Rik	current symbol	MGI:2443110	5930430L01Rik	RIKEN cDNA 5930430L01 gene	lncRNA gene
5930438M14Rik	current symbol	MGI:5439408	5930438M14Rik	RIKEN cDNA 5930438M14 gene	lncRNA gene
6030407O03Rik	current symbol	MGI:1924410	6030407O03Rik	RIKEN cDNA 6030407O03 gene	lncRNA gene
6030440G07Rik	current symbol	MGI:1925128	6030440G07Rik	RIKEN cDNA 6030440G07 gene	lncRNA gene
6030443J06Rik	current symbol	MGI:2444595	6030443J06Rik	RIKEN cDNA 6030443J06 gene	lncRNA gene
6030466F02Rik	current symbol	MGI:3045390	6030466F02Rik	RIKEN cDNA 6030466F02 gene	lncRNA gene
6030469F06Rik	current symbol	MGI:3588235	6030469F06Rik	RIKEN cDNA 6030469F06 gene	lncRNA gene
6330410L21Rik	current symbol	MGI:2441710	6330410L21Rik	RIKEN cDNA 6330410L21 gene	lncRNA gene
6330549D23Rik	current symbol	MGI:2442586	6330549D23Rik	RIKEN cDNA 6330549D23 gene	pseudogene
6430411K18Rik	current symbol	MGI:1924130	6430411K18Rik	RIKEN cDNA 6430411K18 gen	lncRNA gene
6430562O15Rik	current symbol	MGI:2444982	6430562O15Rik	RIKEN cDNA 6430562O15 gene	lncRNA gene
6430584L05Rik	current symbol	MGI:5439415	6430584L05Rik	RIKEN cDNA 6430584L05 gene	lncRNA gene
6430710C18Rik	current symbol	MGI:1923468	6430710C18Rik	RIKEN cDNA 6430710C18 gene	lncRNA gene
6430710C18Rik:copy2		No associated gene			
6530402F18Rik	current symbol	MGI:1923470	6530402F18Rik	RIKEN cDNA 6530402F18 gene	lncRNA gene
6530411M01Rik	current symbol	MGI:1915041	6530411M01Rik	RIKEN cDNA 6530411M01 gene	lncRNA gene
6720401G13Rik	old symbol	MGI:2147989	Firre	functional intergenic repeating RNA element	lncRNA gene
6720401G13Rik:copy2		No associated gene			
6720468P15Rik	current symbol	MGI:1925323	6720468P15Rik	RIKEN cDNA 6720468P15 gene	lncRNA gene
6720468P15Rik:copy2		No associated gene			
6820431F20Rik	current symbol	MGI:3694236	6820431F20Rik	RIKEN cDNA 6820431F20 gene	pseudogene
7420700N18Rik	current symbol	MGI:1921767	7420700N18Rik	RIKEN cDNA 7420700N18 gene	lncRNA gene
7420701I03Rik	current symbol	MGI:1918707	7420701I03Rik	RIKEN cDNA 7420701I03 gene	lncRNA gene
7530420F21Rik	old symbol	MGI:2443180	Ptgs2os	prostaglandin-endoperoxide synthase 2, opposite strand	lncRNA gene
7630403G23Rik	current symbol	MGI:1924369	7630403G23Rik	RIKEN cDNA 7630403G23 gene	lncRNA gene
8030423F21Rik	current symbol	MGI:2443206	8030423F21Rik	RIKEN cDNA 8030423F21 gene	lncRNA gene
8030442B05Rik	current symbol	MGI:1924793	8030442B05Rik	RIKEN cDNA 8030442B05 gene	lncRNA gene
8030443G20Rik	current symbol	MGI:1924423	8030443G20Rik	RIKEN cDNA 8030443G20 gene	lncRNA gene
8430403D17Rik	old symbol	MGI:1918739	Bcas3os1	BCAS3 microtubule associated cell migration factor, opposite strand 1	antisense lncRNA gene
8430422H06Rik	current symbol	MGI:1921779	8430422H06Rik	RIKEN cDNA 8430422H06 gene	lncRNA gene
8430426J06Rik	current symbol	MGI:1925352	8430426J06Rik	RIKEN cDNA 8430426J06 gene	lncRNA gene
8430429K09Rik	current symbol	MGI:1918773	8430429K09Rik	RIKEN cDNA 8430429K09 gene	lncRNA gene
8430436N08Rik	current symbol	MGI:1918760	8430436N08Rik	RIKEN cDNA 8430436N08 gene	lncRNA gene
8430437L04Rik	current symbol	MGI:1921791	8430437L04Rik	RIKEN cDNA 8430437L04 gene	lncRNA gene
9030204H09Rik	current symbol	MGI:1924915	9030204H09Rik	RIKEN cDNA 9030204H09 gene	lncRNA gene
9030404E10Rik	current symbol	MGI:1918778	9030404E10Rik	RIKEN cDNA 9030404E10 gene	lncRNA gene
9130015A21Rik	current symbol	MGI:1918831	9130015A21Rik	RIKEN cDNA 9130015A21 gene	lncRNA gene
9130015L21Rik	current symbol	MGI:1918863	9130015L21Rik	RIKEN cDNA 9130015L21 gene	lncRNA gene
9130019P16Rik	current symbol	MGI:1918824	9130019P16Rik	RIKEN cDNA 9130019P16 gene	lncRNA gene
9130024F11Rik	current symbol	MGI:1926150	9130024F11Rik	RIKEN cDNA 9130024F11 gene	lncRNA gene
9130206I24Rik	old symbol	MGI:2444065	Foxd2os	forkhead box D2, opposite strand	lncRNA gene
9130209A04Rik	current symbol	MGI:1924918	9130209A04Rik	RIKEN cDNA 9130209A04 gene	lncRNA gene
9130221F21Rik	current symbol	MGI:4840488	9130221F21Rik	RIKEN cDNA 9130221F21 gene	lncRNA gene
9130227L01Rik	current symbol	MGI:2445084	9130227L01Rik	RIKEN cDNA 9130227L01 gene	lncRNA gene
9130230L23Rik	current symbol	MGI:3041166	9130230L23Rik	RIKEN cDNA 9130230L23 gene	protein coding gene
9230009I02Rik	current symbol	MGI:3588229	9230009I02Rik	RIKEN cDNA 9230009I02 gene	lncRNA gene
9230102K24Rik	current symbol	MGI:1925931	9230102K24Rik	RIKEN cDNA 9230102K24 gene	lncRNA gene
9230102O04Rik	current symbol	MGI:1924932	9230102O04Rik	RIKEN cDNA 9230102O04 gene	protein coding gene
9230105E05Rik	current symbol	MGI:2444388	9230105E05Rik	RIKEN cDNA 9230105E05 gene	lncRNA gene
9230112J17Rik	current symbol	MGI:1924999	9230112J17Rik	RIKEN cDNA 9230112J17 gene	lncRNA gene
9230115E21Rik	old symbol	MGI:3027124	Arhgap20os	Rho GTPase activating protein 20, opposite strand	antisense lncRNA gene
9330020H09Rik	current symbol	MGI:3704457	9330020H09Rik	RIKEN cDNA 9330020H09 gene	lncRNA gene
9330102E08Rik	current symbol	MGI:3026973	9330102E08Rik	RIKEN cDNA 9330102E08 gene	lncRNA gene
9330111N05Rik	current symbol	MGI:2443112	9330111N05Rik	RIKEN cDNA 9330111N05 gene	lncRNA gene
9330117O12Rik	current symbol	MGI:5439411	9330117O12Rik	RIKEN cDNA 9330117O12 gene	lncRNA gene
9330133O14Rik	current symbol	MGI:2442309	9330133O14Rik	RIKEN cDNA 9330133O14 gene	lncRNA gene
9330151L19Rik	current symbol	MGI:3041168	9330151L19Rik	RIKEN cDNA 9330151L19 gene	lncRNA gene
9330158H04Rik	current symbol	MGI:2442094	9330158H04Rik	RIKEN cDNA 9330158H04 gene	lncRNA gene
9330159M07Rik	current symbol	MGI:2442519	9330159M07Rik	RIKEN cDNA 9330159M07 gene	lncRNA gene
9330162012Rik	current symbol	MGI:3604449	9330162012Rik	cDNA RIKEN 9330162012 gene	lncRNA gene
9330175M20Rik	current symbol	MGI:3045285	9330175M20Rik	RIKEN cDNA 9330175M20 gene	lncRNA gene
9330178D15Rik	current symbol	MGI:4437729	9330178D15Rik	RIKEN cDNA 9330178D15 gene	lncRNA gene
9330179D12Rik	current symbol	MGI:1924808	9330179D12Rik	RIKEN cDNA 9330179D12 gene	lncRNA gene
9430008C03Rik	old symbol	MGI:1915358	Snhg17	small nucleolar RNA host gene 17	lncRNA gene
9430014N10Rik	current symbol	MGI:1924498	9430014N10Rik	RIKEN cDNA 9430014N10 gene	lncRNA gene
9430018G01Rik	current symbol	MGI:2442776	9430018G01Rik	RIKEN cDNA 9430018G01 gene	lncRNA gene
9430019J16Rik	current symbol	MGI:1924519	9430019J16Rik	RIKEN cDNA 9430019J16 gene	lncRNA gene
9430021M05Rik	current symbol	MGI:1924538	9430021M05Rik	RIKEN cDNA 9430021M05 gene	lncRNA gene
